   #FPRO  FPROA   GMAX  CTEMP  X NUCLEUS  FSON      XEQ    XEQ50   FTO      XTO     VOLF    X44      XTO400       SHEART     DIFFT    Bs Ms
    -71.  -193.  -337.  580.  0.65E-03   -323.   0.0696   0.0381     0.  0.0220   0.3662 0.000E+00  0.0101  3   0.17E+03   0.51E+03 307 84
    -60.  -174.  -310.  585.  0.69E-03   -294.   0.0675   0.0354     0.  0.0214   0.3463 0.000E+00  0.0094  3   0.25E+03   0.49E+03 307 84
    -50.  -155.  -283.  590.  0.74E-03   -265.   0.0654   0.0326     0.  0.0207   0.3249 0.000E+00  0.0087  3   0.36E+03   0.48E+03 307 84
    -41.  -136.  -245.  595.  0.78E-03   -236.   0.0633   0.0297     0.  0.0201   0.3016 0.000E+00  0.0079  3   0.67E+03   0.59E+03 307 84
    -32.  -118.  -216.  600.  0.83E-03   -207.   0.0611   0.0268     0.  0.0194   0.2765 0.000E+00  0.0072  3   0.12E+04   0.68E+03 307 84
    -25.  -100.  -187.  605.  0.88E-03   -178.   0.0589   0.0239     0.  0.0187   0.2490 0.000E+00  0.0064  3   0.22E+04   0.84E+03 307 84
    -18.   -82.  -158.  610.  0.94E-03   -149.   0.0566   0.0209     0.  0.0180   0.2189 0.000E+00  0.0056  3   0.47E+04   0.12E+04 307 84
    -12.   -65.  -130.  615.  0.10E-02   -121.   0.0544   0.0178     0.  0.0173   0.1859 0.000E+00  0.0048  3   0.12E+05   0.18E+04 307 84
     -7.   -49.  -101.  620.  0.11E-02    -92.   0.0521   0.0146     0.  0.0166   0.1494 0.000E+00  0.0038  4   0.40E+05   0.35E+04 307 84
    -20.   -88.  -172.  625.  0.11E-02   -160.   0.0572   0.0223     0.  0.0184   0.2272 0.000E+00  0.0057  4   0.25E+04   0.30E+03 307 84
    -15.   -75.  -148.  630.  0.12E-02   -137.   0.0555   0.0200     0.  0.0184   0.2028 0.000E+00  0.0056  2   0.50E+04   0.39E+03 307 84
    -11.   -61.  -125.  635.  0.12E-02   -114.   0.0537   0.0176     0.  0.0178   0.1750 0.000E+00  0.0050  3   0.11E+05   0.55E+03 307 84
     -7.   -48.  -102.  640.  0.13E-02    -91.   0.0519   0.0152     0.  0.0173   0.1459 0.000E+00  0.0043  3   0.28E+05   0.89E+03 307 84
     -4.   -36.   -80.  645.  0.14E-02    -69.   0.0501   0.0128     0.  0.0168   0.1153 0.000E+00  0.0037  3   0.89E+05   0.17E+04 307 84
     307 84
