   #FPRO  FPROA   GMAX  CTEMP  X NUCLEUS  FSON      XEQ    XEQ50   FTO      XTO     VOLF    X44      XTO400       SHEART     DIFFT   
   -599.  -862. -1176.  470.  0.91E-04  -1151.   0.1156   0.0950   -75.  0.0390   0.6935 0.000E+00  0.0265  3   0.34E+01   0.64E+05
   -578.  -837. -1141.  475.  0.99E-04  -1123.   0.1140   0.0931   -56.  0.0381   0.6892 0.000E+00  0.0259  3   0.35E+01   0.43E+05
   -557.  -812. -1110.  480.  0.11E-03  -1094.   0.1124   0.0912   -36.  0.0376   0.6847 0.000E+00  0.0254  3   0.35E+01   0.29E+05
   -536.  -787. -1080.  485.  0.12E-03  -1065.   0.1107   0.0893   -17.  0.0369   0.6801 0.000E+00  0.0249  3   0.36E+01   0.19E+05
   -516.  -763. -1051.  490.  0.13E-03  -1037.   0.1091   0.0873     2.  0.0362   0.6752 0.000E+00  0.0244  3   0.36E+01   0.13E+05
   -495.  -738. -1022.  495.  0.14E-03  -1008.   0.1074   0.0853     0.  0.0356   0.6702 0.000E+00  0.0238  3   0.37E+01   0.90E+04
   -475.  -714.  -998.  500.  0.15E-03   -979.   0.1057   0.0833     0.  0.0349   0.6649 0.000E+00  0.0233  3   0.37E+01   0.61E+04
   -455.  -690.  -966.  505.  0.16E-03   -950.   0.1040   0.0813     0.  0.0343   0.6595 0.000E+00  0.0227  3   0.39E+01   0.43E+04
   -436.  -665.  -936.  510.  0.17E-03   -922.   0.1023   0.0793     0.  0.0336   0.6537 0.000E+00  0.0221  3   0.41E+01   0.31E+04
   -416.  -641.  -907.  515.  0.19E-03   -893.   0.1006   0.0772     0.  0.0330   0.6478 0.000E+00  0.0216  3   0.43E+01   0.22E+04
   -397.  -618.  -879.  520.  0.20E-03   -864.   0.0989   0.0751     0.  0.0324   0.6416 0.000E+00  0.0210  3   0.45E+01   0.16E+04
   -378.  -594.  -856.  525.  0.22E-03   -836.   0.0971   0.0730     0.  0.0318   0.6351 0.000E+00  0.0204  3   0.47E+01   0.11E+04
   -359.  -570.  -821.  530.  0.23E-03   -807.   0.0953   0.0708     0.  0.0312   0.6283 0.000E+00  0.0198  3   0.52E+01   0.86E+03
   -340.  -547.  -792.  535.  0.25E-03   -778.   0.0936   0.0687     0.  0.0306   0.6212 0.000E+00  0.0192  3   0.56E+01   0.64E+03
   -322.  -524.  -764.  540.  0.27E-03   -750.   0.0917   0.0665     0.  0.0300   0.6137 0.000E+00  0.0186  3   0.60E+01   0.48E+03
   -304.  -500.  -737.  545.  0.29E-03   -721.   0.0899   0.0642     0.  0.0293   0.6058 0.000E+00  0.0179  3   0.66E+01   0.37E+03
   -286.  -478.  -712.  550.  0.31E-03   -693.   0.0881   0.0620     0.  0.0287   0.5975 0.000E+00  0.0173  3   0.71E+01   0.28E+03
   -268.  -455.  -677.  555.  0.33E-03   -664.   0.0862   0.0597     0.  0.0281   0.5888 0.000E+00  0.0167  3   0.84E+01   0.23E+03
   -251.  -432.  -648.  560.  0.36E-03   -635.   0.0844   0.0573     0.  0.0275   0.5795 0.000E+00  0.0160  3   0.95E+01   0.18E+03
   -234.  -410.  -619.  565.  0.38E-03   -607.   0.0825   0.0550     0.  0.0270   0.5698 0.000E+00  0.0153  3   0.11E+02   0.14E+03
   -217.  -387.  -590.  570.  0.41E-03   -578.   0.0805   0.0526     0.  0.0264   0.5595 0.000E+00  0.0147  3   0.13E+02   0.12E+03
   -201.  -365.  -562.  575.  0.43E-03   -550.   0.0786   0.0501     0.  0.0258   0.5485 0.000E+00  0.0140  3   0.15E+02   0.97E+02
   -185.  -344.  -533.  580.  0.46E-03   -521.   0.0766   0.0477     0.  0.0252   0.5369 0.000E+00  0.0133  3   0.18E+02   0.81E+02
   -169.  -322.  -505.  585.  0.49E-03   -492.   0.0747   0.0452     0.  0.0245   0.5244 0.000E+00  0.0126  3   0.21E+02   0.69E+02
   -154.  -301.  -476.  590.  0.52E-03   -464.   0.0727   0.0426     0.  0.0239   0.5112 0.000E+00  0.0119  3   0.26E+02   0.60E+02
   -139.  -279.  -448.  595.  0.56E-03   -435.   0.0706   0.0400     0.  0.0233   0.4970 0.000E+00  0.0112  3   0.33E+02   0.53E+02
   -125.  -259.  -420.  600.  0.59E-03   -407.   0.0686   0.0374     0.  0.0226   0.4818 0.000E+00  0.0104  3   0.42E+02   0.48E+02
   -111.  -238.  -392.  605.  0.63E-03   -378.   0.0665   0.0347     0.  0.0220   0.4655 0.000E+00  0.0097  3   0.55E+02   0.44E+02
    -98.  -218.  -365.  610.  0.67E-03   -350.   0.0644   0.0319     0.  0.0213   0.4478 0.000E+00  0.0089  3   0.74E+02   0.41E+02
    -85.  -198.  -337.  615.  0.71E-03   -321.   0.0623   0.0291     0.  0.0207   0.4287 0.000E+00  0.0082  3   0.10E+03   0.40E+02
    -73.  -178.  -310.  620.  0.75E-03   -293.   0.0601   0.0263     0.  0.0200   0.4080 0.000E+00  0.0074  3   0.14E+03   0.39E+02
    -61.  -159.  -284.  625.  0.80E-03   -264.   0.0579   0.0234     0.  0.0193   0.3854 0.000E+00  0.0064  4   0.21E+03   0.40E+02
    -50.  -140.  -247.  630.  0.84E-03   -236.   0.0557   0.0204     0.  0.0186   0.3606 0.000E+00  0.0057  3   0.39E+03   0.50E+02
    -40.  -121.  -218.  635.  0.89E-03   -208.   0.0535   0.0173     0.  0.0179   0.3334 0.000E+00  0.0048  4   0.67E+03   0.59E+02
